('1636738315394259700', 236, 129, 71, 272, 0.9731333327979554)
('1636738315831747000', 247, 136, 89, 270, 0.9321196668894088)
('1636738315613004600', 244, 132, 72, 271, 0.9014988144905411)
('1636738316269232400', 249, 125, 111, 281, 0.8833374142952589)
('1636738400411291100', 538, 204, 136, 225, 0.8809786436202511)
('1636738337534146200', 383, 268, 135, 191, 0.8787144975718736)
('1636738316050488300', 251, 137, 100, 270, 0.8778762901347263)
('1636738316487974300', 250, 126, 111, 277, 0.8641644934060176)
('1636738317362943300', 258, 118, 78, 284, 0.8620924236068105)
('1636738314081803300', 124, 163, 103, 276, 0.8558761904799285)
('1636738314519289700', 168, 152, 68, 243, 0.8539110287387507)
('1636738337315402500', 387, 264, 129, 203, 0.8506247648226537)
('1636738315175516100', 225, 136, 76, 274, 0.849056050194249)
('1636738337096660200', 380, 263, 133, 206, 0.8456226174427305)
('1636738314300544900', 151, 150, 83, 290, 0.8443990721274317)
('1636738316706715900', 253, 128, 105, 277, 0.8435810191849453)
('1636738332503063700', 380, 260, 135, 207, 0.8429087577755846)
('1636738332721805700', 380, 262, 135, 205, 0.8427396383116301)
('1636738338190372500', 387, 271, 129, 195, 0.8415546231485503)
('1636738332940549900', 379, 262, 136, 205, 0.8411465002653459)
('1636738320862825300', 357, 281, 134, 173, 0.8405717894259276)
('1636738337752888600', 387, 270, 126, 194, 0.8397884736218728)
('1636738476002515600', 505, 76, 52, 138, 0.838508262521001)
('1636738475565028800', 519, 81, 66, 145, 0.8369096727924651)
('1636738321081570800', 359, 230, 150, 212, 0.8352870871944045)
('1636738316925460600', 256, 128, 95, 276, 0.8344353667441131)
('1636738317144202700', 260, 122, 78, 279, 0.8320814956595248)
('1636738343437750800', 595, 244, 109, 178, 0.8289826061540665)
('1636738333159289800', 378, 263, 137, 205, 0.8286548681937005)
('1636738336877918100', 378, 264, 137, 208, 0.8261571200341691)
('1636738400192548500', 537, 210, 117, 223, 0.8261494593719874)
('1636738333596778200', 380, 265, 136, 201, 0.8233275796460243)
('1636738338846599700', 385, 265, 135, 204, 0.8232297928952813)
('1636738338627859100', 384, 272, 138, 188, 0.8200362668112027)
('1636738463784175100', 552, 245, 143, 180, 0.8199569910519591)
('1636738341469065800', 419, 253, 114, 210, 0.8183144248724565)
('1636738334034262200', 379, 262, 137, 206, 0.8170848321318477)
('1636738337971631700', 387, 276, 126, 186, 0.8164740842655884)
('1636738333815519700', 380, 263, 136, 203, 0.8153193890936372)
('1636738463565431400', 548, 252, 152, 175, 0.8149495708581157)
('1636738343000266400', 562, 228, 114, 206, 0.8137043725592035)
('1636738332284321300', 382, 262, 137, 205, 0.8136430308682829)
('1636738333378035800', 379, 264, 136, 203, 0.8132486885004033)
('1636738399973808500', 534, 209, 94, 229, 0.8131948809111254)
('1636738525657104100', 583, 92, 62, 133, 0.8109707417959621)
('1636738340812838400', 361, 272, 140, 181, 0.8106753943634447)
('1636738324800196000', 384, 257, 134, 200, 0.8088362516783183)
('1636738338409114500', 381, 272, 139, 198, 0.8083931904053346)
('1636738331628090900', 381, 259, 136, 208, 0.8083682054970917)
('1636738332065575800', 380, 260, 138, 206, 0.8081126667884303)
('1636738343219007700', 571, 236, 129, 189, 0.8060879527352087)
('1636738343656494000', 636, 264, 68, 147, 0.8060497970486882)
('1636738334253006800', 377, 262, 140, 205, 0.8058712864402783)
('1636738318456658600', 371, 263, 163, 187, 0.8054411643822538)
('1636738475783771700', 508, 79, 63, 146, 0.8036414251437184)
('1636738331846835400', 380, 260, 138, 207, 0.7989514685988455)
('1636738343875236600', 650, 266, 53, 145, 0.7984172321624178)
('1636738330971863200', 380, 252, 140, 214, 0.7979273460517301)
('1636738318019174400', 381, 256, 145, 203, 0.7977968318869825)
('1636738331190608400', 380, 253, 141, 214, 0.7976739312839892)
('1636738331409349700', 383, 260, 137, 208, 0.7964506021144936)
('1636738318894143900', 373, 272, 153, 175, 0.7951785508534654)
('1636738339281640000', 381, 283, 139, 180, 0.7951095052594528)
('1636738451440835900', 530, 90, 80, 166, 0.7923373734144832)
('1636738314956775100', 216, 136, 78, 277, 0.7922159158015928)
('1636738320644085800', 357, 271, 128, 185, 0.7920733207424542)
('1636738324362712200', 384, 258, 133, 197, 0.7916326579193617)
('1636738339719123700', 353, 279, 168, 183, 0.7904799461823833)
('1636738339937866200', 359, 278, 157, 180, 0.7903278029473424)
('1636738476440001000', 481, 75, 51, 135, 0.7895191734569111)
('1636738339500382100', 378, 283, 143, 177, 0.7884978437503884)
('1636738335346718200', 377, 261, 141, 207, 0.7882786444275471)
('1636738339065342500', 378, 283, 144, 183, 0.7872481353340679)
('1636738320425342800', 359, 270, 128, 184, 0.7869307810555909)
('1636738324143967900', 386, 258, 131, 197, 0.7866927485672066)
('1636738452097063700', 580, 101, 63, 174, 0.7861721109645072)
('1636738341687810800', 435, 258, 117, 200, 0.7839554356950755)
('1636738324581451700', 383, 257, 134, 200, 0.7836240229796303)
('1636738318237913400', 372, 264, 155, 200, 0.7824853783659106)
('1636738464877885000', 568, 206, 120, 222, 0.7823208297156121)
('1636738319987857200', 364, 279, 131, 174, 0.7809737681517086)
('1636738314738033100', 381, 261, 150, 206, 0.7790036350593926)
('1636738335784201700', 382, 264, 136, 203, 0.7772838918898451)
('1636738396255179600', 418, 218, 91, 233, 0.7772014194516065)
('1636738341031579800', 372, 265, 139, 184, 0.7770859781803009)
