('1636738315394259700', 377, 270, 153, 185, 0.9955272763994937)
('1636738315613004600', 381, 272, 143, 181, 0.9827693458590371)
('1636738305628962600', 380, 268, 141, 191, 0.9737183803555547)
('1636738316487974300', 365, 269, 163, 180, 0.9735165232135318)
('1636738315831747000', 380, 272, 143, 180, 0.9721475393151543)
('1636738305410218400', 381, 265, 139, 194, 0.9701167436819025)
('1636738305847705300', 381, 271, 141, 188, 0.9697659142716694)
('1636738321519054800', 370, 265, 148, 193, 0.9695285849539904)
('1636738315175516100', 369, 264, 159, 195, 0.9689827596238009)
('1636738305191476000', 377, 261, 144, 197, 0.9680269120746525)
('1636738304972734300', 378, 259, 140, 198, 0.9652261406124502)
('1636738316050488300', 383, 270, 139, 180, 0.9645588848590442)
('1636738304753992200', 380, 258, 139, 198, 0.9636604795151746)
('1636738306066447700', 379, 272, 148, 189, 0.9632149128158256)
('1636738321300313800', 370, 263, 144, 187, 0.9600246568802777)
('1636738329221921600', 387, 265, 132, 182, 0.9595273801630881)
('1636738316269232400', 386, 266, 136, 183, 0.9594146648391778)
('1636738331409349700', 383, 260, 137, 208, 0.9592657727989363)
('1636738316925460600', 360, 261, 171, 188, 0.9589233528421738)
('1636738325237681700', 390, 261, 131, 208, 0.9578366577903281)
('1636738329003181200', 384, 255, 135, 199, 0.9571299143731463)
('1636738312269365100', 406, 268, 109, 204, 0.9570061536986807)
('1636738324800196000', 384, 257, 134, 200, 0.9567870952309196)
('1636738306285188400', 380, 274, 146, 187, 0.9566555577296522)
('1636738321956541200', 382, 268, 136, 188, 0.9543956888751366)
('1636738325503297500', 400, 267, 122, 202, 0.9534064811423228)
('1636738325722039800', 397, 268, 127, 197, 0.9531155050969808)
('1636738323487740400', 386, 259, 131, 194, 0.9524674616555443)
('1636738324581451700', 383, 257, 134, 200, 0.9518507935127537)
('1636738316706715900', 352, 265, 179, 183, 0.9513698875632605)
('1636738324362712200', 384, 258, 133, 197, 0.950862699302406)
('1636738304535246400', 382, 259, 139, 197, 0.9507536987743228)
('1636738325018939300', 389, 261, 130, 205, 0.9500826187257839)
('1636738328784436300', 386, 252, 131, 203, 0.9499148136256714)
('1636738322175285200', 385, 265, 133, 190, 0.9497149773397144)
('1636738322612769600', 383, 261, 133, 193, 0.9496059054406207)
('1636738327471982100', 378, 263, 140, 188, 0.9486516088216642)
('1636738331628090900', 381, 259, 136, 208, 0.9481362274564306)
('1636738329440665500', 391, 263, 126, 187, 0.9461548844041513)
('1636738323050254400', 387, 260, 129, 195, 0.9461102713712393)
('1636738327690724100', 381, 258, 138, 191, 0.9450773624069583)
('1636738322394024000', 386, 263, 130, 192, 0.9449921099353213)
